,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,87.34177215189874,100.0,100.0,100.0,12.658227848101266,87.34177215189874,87.34177215189874,100.0,87.34177215189874
binding_site.001,25.31645569620253,81.0126582278481,88.60759493670885,43.037974683544306,17.72151898734177,22.78481012658228,25.31645569620253,79.74683544303798,22.78481012658228
binding_site.002,2.5316455696202533,10.126582278481013,5.063291139240507,3.79746835443038,1.2658227848101267,0.0,1.2658227848101267,2.5316455696202533,0.0
binding_site.003,2.5316455696202533,5.063291139240507,64.55696202531645,5.063291139240507,2.5316455696202533,2.5316455696202533,2.5316455696202533,5.063291139240507,2.5316455696202533
binding_site.004,1.2658227848101267,1.2658227848101267,5.063291139240507,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,1.2658227848101267,1.2658227848101267
binding_site.005,0.0,27.848101265822784,3.79746835443038,1.2658227848101267,1.2658227848101267,0.0,0.0,3.79746835443038,0.0
binding_site.006,1.2658227848101267,3.79746835443038,0.0,1.2658227848101267,0.0,0.0,0.0,0.0,0.0
binding_site.007,0.0,1.2658227848101267,2.5316455696202533,2.5316455696202533,2.5316455696202533,0.0,0.0,0.0,0.0
binding_site.008,0.0,1.2658227848101267,3.79746835443038,0.0,0.0,0.0,0.0,1.2658227848101267,0.0
binding_site.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
