Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006
bound,1V3X.A,17,19,18,8,0,0,0
bound,1IQN.A,23,17,15,0,0,1,0
unbound,5VOE.H,25,20,19,0,0,0,0
bound,2D1J.A,27,16,19,8,0,0,9
bound,1F0S.A,29,17,17,10,0,3,0
bound,1NFY.A,26,17,18,0,0,0,2
bound,3CS7.A,28,18,21,8,0,0,0
bound,2W26.A,28,16,19,6,0,2,5
bound,4Y7B.A,16,16,16,15,0,0,0
bound,1IQK.A,39,10,16,6,0,0,0
bound,2WYG.A,16,17,13,0,0,6,0
bound,3KQB.A,19,18,20,0,0,0,0
bound,4ZHA.A,19,18,16,4,0,0,5
bound,2BOK.A,18,18,21,5,0,1,2
bound,2VVV.A,18,18,16,14,0,2,0
bound,3ENS.B,17,17,19,0,0,1,0
bound,1XKA.C,18,21,18,0,0,0,0
bound,3FFG.A,25,20,23,0,0,1,0
bound,2VVC.B,16,20,23,11,0,2,0
bound,2XBW.A,16,21,18,3,0,3,0
bound,2P3U.B,18,17,16,13,0,0,2
bound,2J95.A,22,21,17,12,0,0,0
bound,3M37.A,22,21,21,0,0,2,3
bound,7AHU.E,13,11,19,0,0,0,8
bound,3KQE.A,25,21,18,0,0,0,0
bound,2RA0.A,26,18,19,13,0,0,0
bound,3KQD.A,26,23,21,0,0,0,5
bound,3HPT.B,20,19,21,5,0,2,0
bound,2FZZ.A,24,17,20,3,0,0,2
bound,1NFX.A,27,17,18,2,0,2,0
bound,3TK5.A,29,22,17,11,0,0,0
bound,2XBV.A,26,18,17,6,0,4,0
bound,3HPT.D,21,21,23,0,0,1,0
bound,1XKB.D,14,18,20,0,0,2,0
bound,2Y5F.A,26,19,20,6,0,1,4
bound,1IQM.A,27,20,21,0,0,1,3
bound,1LPZ.B,26,22,20,0,0,0,0
bound,2EI6.A,28,18,20,0,0,0,0
bound,2VVU.A,18,23,19,2,0,0,3
bound,1FAX.A,24,23,16,0,0,2,6
bound,4Y6D.A,27,16,15,2,0,6,4
bound,1IQH.A,28,21,17,6,3,0,0
bound,2JKH.A,23,18,23,5,0,2,5
bound,5K0H.A,30,18,20,2,0,0,5
bound,1LPK.B,28,18,19,0,0,0,0
bound,3LIW.A,18,20,17,0,0,0,0
bound,1IQG.A,27,14,18,0,0,0,0
bound,4Y79.A,22,22,15,12,0,6,2
bound,3SW2.B,27,23,18,0,0,2,8
bound,2XBY.A,24,23,16,0,0,2,0
bound,4BTI.F,26,19,19,0,0,6,4
bound,1XKB.C,14,18,18,0,0,4,0
bound,2Y80.A,22,23,16,0,0,4,0
bound,2CJI.A,23,22,17,10,0,0,0
bound,3TK6.A,17,19,16,9,0,0,3
bound,4Y7A.A,18,22,16,12,0,2,0
bound,4BTU.F,20,19,17,0,0,2,6
bound,1MQ6.A,24,17,15,0,0,3,0
bound,2VWM.B,17,21,20,7,0,1,0
unbound,7TPQ.B,12,21,6,11,17,0,3
bound,3IIT.A,27,19,18,8,0,0,0
bound,1LQD.B,16,20,20,0,0,1,2
bound,2UWL.A,27,22,15,10,0,0,3
bound,2BMG.B,27,19,22,0,0,0,0
