Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007
unbound,6Y7T.P,28,22,15,0,9,2,0,0
bound,7NYG.A,19,16,12,0,2,0,3,0
bound,6RKM.A,23,22,11,0,1,0,4,0
unbound,4Y32.A,30,16,9,0,0,0,3,0
bound,7OR8.A,24,20,12,0,4,0,5,0
bound,7NM3.A,15,15,12,0,0,0,3,0
bound,4DHT.A,28,17,9,0,6,0,0,0
bound,7AZ2.A,12,12,13,0,5,0,2,0
bound,7OBH.A,31,28,9,0,1,0,3,0
bound,7OQ9.A,20,19,12,0,0,0,4,0
bound,7O59.A,26,17,9,0,0,0,3,0
bound,6TJM.A,21,21,11,0,1,2,0,0
bound,4JDD.A,22,20,8,0,2,0,5,2
bound,7O6M.A,20,11,8,0,1,0,4,0
unbound,6YR5.C,17,16,9,0,0,2,0,0
bound,6RWS.A,29,16,8,0,0,0,3,2
unbound,6FAU.C,21,18,9,0,0,14,2,0
bound,7NIG.A,21,16,10,0,5,0,0,6
bound,6RKI.A,30,16,10,0,1,0,2,0
unbound,7NPG.A,31,17,8,0,1,0,0,0
bound,6RJQ.A,23,18,7,0,1,0,4,2
bound,6TL3.A,15,15,12,0,0,5,2,4
bound,7NXY.A,17,16,7,0,0,0,0,0
bound,7NZK.A,13,13,10,0,1,0,6,0
unbound,6QZR.G,25,24,13,0,2,0,8,1
bound,7NY4.A,14,14,10,0,2,0,9,0
bound,7O3F.A,14,14,9,0,0,0,6,0
bound,3T0L.A,30,21,13,0,2,0,0,0
unbound,6YR5.A,16,16,11,0,0,2,6,0
unbound,6SLX.A,25,16,11,0,1,0,4,1
unbound,6G6X.A,16,16,9,0,2,0,3,0
unbound,6FAW.A,16,16,12,0,0,0,5,0
unbound,6TLG.A,28,21,12,0,5,0,3,1
bound,7O6O.A,22,15,9,0,0,0,4,0
unbound,6XWD.A,20,20,12,0,4,0,4,2
bound,3IQV.A,18,17,9,0,1,0,0,0
unbound,6YIB.A,20,16,11,0,1,0,6,0
bound,7NQP.A,18,15,10,0,2,0,3,0
bound,7NJ8.A,23,19,11,0,8,0,5,0
bound,6YP3.A,20,17,10,0,0,0,6,0
unbound,5HF3.A,22,16,11,0,2,0,2,0
unbound,6FAV.A,17,17,12,0,1,0,4,0
bound,7O6I.A,18,14,11,0,0,0,3,0
unbound,6YR6.A,20,17,12,0,2,3,2,4
bound,7OBY.A,31,31,10,0,2,0,4,0
bound,7BGW.A,17,19,9,0,1,0,0,0
bound,6RKK.A,28,17,10,0,1,0,2,0
bound,7BIQ.A,18,14,12,0,0,0,3,0
bound,7O6F.A,19,19,9,0,0,0,4,0
bound,7OR3.A,27,25,11,0,0,0,4,3
bound,7NXW.A,21,15,11,0,0,0,0,3
bound,7NN2.A,21,17,10,0,1,0,5,0
bound,6SIQ.A,32,19,5,0,2,0,2,0
unbound,6RJL.A,31,17,11,0,2,0,5,0
