Type,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008
unbound,1CKE.A,16,12,7,17,15,4,0,0,13
bound,1KDO.B,19,15,9,3,11,13,5,6,0
bound,1KDR.A,17,12,9,7,6,3,7,0,0
bound,1KDP.A,18,13,18,5,6,8,3,4,1
bound,1KDP.B,13,16,7,6,6,6,11,13,1
bound,1KDT.B,18,12,7,4,6,10,8,3,2
unbound,2FEM.A,20,10,7,17,13,3,2,0,8
bound,1KDT.A,19,14,12,6,9,9,8,1,0
bound,1KDO.A,18,13,5,4,9,13,4,6,1
bound,2CMK.A,13,14,8,11,8,6,8,0,0
bound,1KDR.B,14,22,9,8,10,6,7,0,4
bound,2FEO.A,25,12,16,5,4,8,10,9,0
