,high_scoring,ccd,maximum_distance,medium_scoring,borderline,high_scoring & ccd,high_scoring & maximum_distance,ccd & maximum_distance,high_scoring & ccd & maximum_distance
binding_site.000,75.0,96.875,96.875,93.75,18.75,71.875,71.875,96.875,71.875
binding_site.001,8.536585365853659,9.75609756097561,6.097560975609756,47.5609756097561,39.02439024390244,3.6585365853658534,2.4390243902439024,6.097560975609756,2.4390243902439024
binding_site.002,7.317073170731707,47.5609756097561,43.90243902439025,12.195121951219512,4.878048780487805,3.6585365853658534,2.4390243902439024,34.146341463414636,2.4390243902439024
binding_site.003,1.3333333333333335,45.33333333333333,86.66666666666667,1.3333333333333335,0.0,0.0,0.0,45.33333333333333,0.0
binding_site.004,1.2048192771084338,14.457831325301203,30.120481927710845,2.4096385542168677,1.2048192771084338,1.2048192771084338,1.2048192771084338,13.253012048192772,1.2048192771084338
binding_site.005,1.2048192771084338,26.506024096385545,10.843373493975903,3.614457831325301,2.4096385542168677,0.0,0.0,9.63855421686747,0.0
binding_site.006,1.1764705882352942,9.411764705882353,5.88235294117647,7.0588235294117645,5.88235294117647,0.0,0.0,3.5294117647058822,0.0
binding_site.007,0.0,2.3529411764705883,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0,0.0,1.1764705882352942,0.0
binding_site.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.009,0.0,14.285714285714285,13.095238095238097,1.1904761904761905,1.1904761904761905,0.0,0.0,8.333333333333332,0.0
binding_site.010,0.0,1.1764705882352942,4.705882352941177,1.1764705882352942,1.1764705882352942,0.0,0.0,1.1764705882352942,0.0
binding_site.012,0.0,0.0,0.0,1.1764705882352942,1.1764705882352942,0.0,0.0,0.0,0.0
binding_site.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binding_site.014,0.0,10.588235294117647,76.47058823529412,1.1764705882352942,1.1764705882352942,0.0,0.0,10.588235294117647,0.0
binding_site.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
