Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007
bound,7MEV.A,17,11,8,0,7,2,0,0
unbound,6BOW.B,14,14,17,0,0,4,0,0
unbound,2ISI.A,18,12,13,0,5,2,0,0
bound,5DFI.A,19,13,5,0,0,3,0,0
unbound,1E9N.B,17,9,18,0,5,2,0,0
bound,6BOR.A,22,14,2,0,0,4,0,1
bound,5DG0.A,19,13,3,0,0,4,0,0
unbound,6W3U.B,17,13,2,0,0,0,0,0
unbound,6BOT.B,16,11,18,0,0,5,0,0
bound,6W3N.B,17,5,10,0,3,0,0,0
bound,7LPG.B,14,11,12,0,0,5,0,0
unbound,6BOR.B,20,13,15,0,2,4,4,1
bound,1DE9.A,22,11,4,0,14,8,0,0
unbound,6P93.B,17,0,17,0,5,3,6,1
unbound,2O3H.A,18,16,9,0,2,3,0,1
bound,7TC2.C,18,14,18,0,6,6,0,0
unbound,2ISI.C,16,14,10,0,14,0,0,0
bound,7TC2.A,18,9,21,0,2,8,0,0
unbound,5WN4.A,17,14,8,0,2,3,0,0
unbound,7LPI.B,16,13,4,0,3,2,0,0
bound,7LPG.D,18,14,5,0,2,5,2,2
bound,6BOQ.A,18,14,4,13,0,5,0,0
bound,7LPJ.D,18,6,0,0,13,4,0,0
bound,7TC3.A,17,14,6,0,5,5,0,0
bound,6W2P.A,16,14,0,13,0,6,0,0
unbound,7SUV.A,17,15,18,0,0,3,0,0
unbound,4LND.C,16,8,11,0,0,3,0,0
unbound,3U8U.B,20,9,9,0,7,4,0,0
bound,7SUV.B,17,15,12,0,0,4,0,0
unbound,6P94.B,17,9,17,0,3,2,5,0
unbound,3U8U.E,18,11,12,0,11,3,0,0
bound,6W43.A,17,14,2,14,0,5,0,0
bound,6BOW.A,20,13,2,18,0,2,0,0
bound,6W3U.A,17,14,8,0,0,4,0,0
bound,1DE8.B,21,22,11,0,10,0,0,3
bound,1DEW.B,20,15,8,0,2,4,0,0
bound,7SVB.B,17,14,8,0,0,6,0,0
bound,5WN3.A,18,13,10,0,2,8,0,0
unbound,6BOU.B,18,14,12,0,4,5,4,0
unbound,7LPJ.B,14,16,15,0,2,4,0,0
bound,6BOV.A,19,14,3,0,4,6,0,0
bound,6P94.A,20,13,3,10,0,4,0,0
unbound,5DFI.B,14,16,10,0,0,5,7,1
unbound,6W3L.A,17,12,6,0,8,5,0,0
unbound,3U8U.A,17,6,12,0,2,4,0,3
unbound,5DFH.B,15,14,14,0,3,5,0,0
unbound,7LPH.B,17,13,13,0,0,4,3,0
unbound,6W2P.B,16,13,16,0,0,3,8,0
unbound,1E9N.A,17,15,13,0,6,3,0,0
unbound,5DG0.B,16,15,18,0,4,6,0,0
bound,6BOU.A,21,13,5,16,0,3,0,0
bound,2ISI.B,16,8,14,0,8,4,0,0
bound,5WN4.B,19,14,13,0,0,4,0,0
bound,1HD7.A,19,16,14,0,4,3,0,0
bound,5DFJ.B,17,12,13,0,3,6,4,0
bound,5DFH.A,19,14,5,15,0,5,0,2
unbound,3U8U.D,19,13,11,0,3,4,0,1
unbound,4QH9.A,16,12,8,0,2,7,0,0
bound,5WN1.A,16,9,11,0,2,9,0,0
bound,6W4T.A,18,11,10,0,7,7,0,0
bound,4IEM.B,18,12,2,0,7,10,0,0
unbound,5WN2.B,17,17,9,0,4,6,0,0
bound,6W4T.B,20,14,0,0,8,3,0,1
unbound,6W3N.A,20,13,6,0,2,4,0,0
bound,1BIX.A,21,9,17,0,3,2,0,0
unbound,5WN0.B,21,0,21,0,9,0,0,0
unbound,4LND.A,18,6,20,0,6,3,0,0
unbound,1DE9.B,24,0,4,0,14,2,0,0
bound,1DEW.A,17,12,10,0,9,5,0,3
bound,1DE8.A,21,3,13,0,7,0,0,2
bound,7CD6.A,19,11,10,0,2,2,0,0
bound,5DFF.A,16,15,0,16,0,2,0,0
unbound,3U8U.C,19,8,11,0,3,4,0,0
unbound,5CFG.A,18,0,21,0,7,4,0,11
bound,5DFJ.A,20,14,8,0,0,5,0,0
bound,5WN0.A,20,14,12,0,6,2,0,0
unbound,5WN1.B,18,4,21,0,2,3,0,0
bound,6W3Q.B,17,14,8,0,0,0,0,0
bound,6BOS.A,17,12,2,9,0,5,0,0
unbound,7TC2.B,17,12,19,0,4,2,0,0
bound,6MKM.A,19,2,20,0,5,8,0,0
bound,6BOT.A,19,12,7,10,0,5,0,1
bound,6BOV.B,17,11,10,0,0,5,3,0
bound,6W4I.B,19,3,21,0,5,5,0,0
unbound,6W0Q.B,10,16,15,0,5,3,5,0
unbound,5DFF.B,14,13,17,0,0,7,12,0
unbound,3U8U.F,19,4,13,0,4,3,0,0
