,pdb_id,bound state,binding_site,score,min_ccd,max_dim,druggability,high_scoring,ccd,maximum_distance,medium_scoring,borderline
7kia_A_modified_binding_site.000,7kia_A_modified,bound,binding_site.000,19,"('consensus.005.007', np.float64(5.373865681307819))",21.032354996232613,True,True,True,True,True,False
7kia_A_modified_binding_site.001,7kia_A_modified,bound,binding_site.001,8,"('consensus.005.007', np.float64(5.373865681307819))",21.032354996232613,False,False,True,True,False,False
7kia_A_modified_binding_site.002,7kia_A_modified,unbound,binding_site.002,6,0.0,5.713592462177619,False,False,False,False,False,False
7kia_A_modified_binding_site.003,7kia_A_modified,bound,binding_site.003,6,"('consensus.008.004', np.float64(11.844840584214278))",9.316000122950785,False,False,False,False,False,False
7kia_A_modified_binding_site.004,7kia_A_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
7kia_A_modified_binding_site.005,7kia_A_modified,bound,binding_site.005,10,"('consensus.004.008', np.float64(5.068605656862868))",9.316000122950785,False,False,True,False,False,False
7kia_A_modified_binding_site.006,7kia_A_modified,unbound,binding_site.006,0,0.0,0.0,False,False,False,False,False,False
7kia_A_modified_binding_site.007,7kia_A_modified,unbound,binding_site.007,1,0.0,9.316000122950785,False,False,False,False,False,False
7kia_A_modified_binding_site.008,7kia_A_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
7kia_A_modified_binding_site.009,7kia_A_modified,unbound,binding_site.009,0,0.0,0.0,False,False,False,False,False,False
7kia_A_modified_binding_site.010,7kia_A_modified,unbound,binding_site.010,0,0.0,0.0,False,False,False,False,False,False
2pzr_A_modified_binding_site.000,2pzr_A_modified,bound,binding_site.000,14,"('consensus.005.008', np.float64(6.062973121015219))",13.931402176335942,False,False,True,True,True,True
2pzr_A_modified_binding_site.001,2pzr_A_modified,unbound,binding_site.001,13,"('consensus.008.004', np.float64(7.859494325744899))",13.04659413737044,False,False,True,True,True,True
2pzr_A_modified_binding_site.002,2pzr_A_modified,unbound,binding_site.002,7,0.0,5.128769767956447,False,False,False,False,False,False
2pzr_A_modified_binding_site.003,2pzr_A_modified,unbound,binding_site.003,3,"('consensus.008.004', np.float64(12.351956278587444))",9.565291699570333,False,False,False,False,False,False
2pzr_A_modified_binding_site.004,2pzr_A_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
2pzr_A_modified_binding_site.005,2pzr_A_modified,unbound,binding_site.005,10,0.0,9.565291699570333,False,False,False,False,False,False
2pzr_A_modified_binding_site.006,2pzr_A_modified,unbound,binding_site.006,0,0.0,0.0,False,False,False,False,False,False
2pzr_A_modified_binding_site.007,2pzr_A_modified,unbound,binding_site.007,1,0.0,9.565291699570333,False,False,False,False,False,False
2pzr_A_modified_binding_site.008,2pzr_A_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
2pzr_A_modified_binding_site.009,2pzr_A_modified,unbound,binding_site.009,0,0.0,0.0,False,False,False,False,False,False
2pzr_A_modified_binding_site.010,2pzr_A_modified,unbound,binding_site.010,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.000,4j95_C_modified,bound,binding_site.000,18,"('consensus.005.008', np.float64(4.829232276291859))",15.161995097989472,True,True,True,True,True,False
4j95_C_modified_binding_site.001,4j95_C_modified,bound,binding_site.001,13,"('consensus.010.002', np.float64(5.853811316507012))",15.161995097989472,False,False,True,True,True,True
4j95_C_modified_binding_site.002,4j95_C_modified,unbound,binding_site.002,3,0.0,5.520043184813008,False,False,False,False,False,False
4j95_C_modified_binding_site.003,4j95_C_modified,unbound,binding_site.003,5,0.0,13.311760040724764,False,False,False,True,False,False
4j95_C_modified_binding_site.004,4j95_C_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.005,4j95_C_modified,unbound,binding_site.005,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.006,4j95_C_modified,unbound,binding_site.006,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.007,4j95_C_modified,unbound,binding_site.007,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.008,4j95_C_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
4j95_C_modified_binding_site.009,4j95_C_modified,unbound,binding_site.009,5,0.0,5.129317609594093,False,False,False,False,False,False
4j95_C_modified_binding_site.010,4j95_C_modified,unbound,binding_site.010,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.000,1gjo_A_modified,unbound,binding_site.000,21,"('consensus.003.007', np.float64(4.317119682455189))",21.302726495006432,True,True,True,True,True,False
1gjo_A_modified_binding_site.001,1gjo_A_modified,unbound,binding_site.001,21,"('consensus.003.007', np.float64(4.317119682455189))",21.302726495006432,True,True,True,True,True,False
1gjo_A_modified_binding_site.002,1gjo_A_modified,unbound,binding_site.002,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.003,1gjo_A_modified,unbound,binding_site.003,5,"('consensus.006.005', np.float64(10.04476242165587))",6.637016991551639,False,False,False,False,False,False
1gjo_A_modified_binding_site.004,1gjo_A_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.005,1gjo_A_modified,unbound,binding_site.005,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.006,1gjo_A_modified,unbound,binding_site.006,2,"('consensus.010.002', np.float64(4.80980082602232))",7.913153630732806,False,False,True,False,False,False
1gjo_A_modified_binding_site.007,1gjo_A_modified,unbound,binding_site.007,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.008,1gjo_A_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
1gjo_A_modified_binding_site.009,1gjo_A_modified,unbound,binding_site.009,5,0.0,6.637016991551639,False,False,False,False,False,False
1gjo_A_modified_binding_site.010,1gjo_A_modified,unbound,binding_site.010,0,0.0,0.0,False,False,False,False,False,False
2q0b_A_modified_binding_site.000,2q0b_A_modified,bound,binding_site.000,20,"('consensus.006.005', np.float64(6.20546607498287))",15.497965455502506,True,True,True,True,True,False
2q0b_A_modified_binding_site.001,2q0b_A_modified,unbound,binding_site.001,10,"('consensus.007.005', np.float64(6.6135742177444685))",12.330389875126032,False,False,True,True,False,False
2q0b_A_modified_binding_site.002,2q0b_A_modified,unbound,binding_site.002,9,0.0,6.906206408984904,False,False,False,False,False,False
2q0b_A_modified_binding_site.003,2q0b_A_modified,unbound,binding_site.003,5,"('consensus.007.005', np.float64(11.358948247346095))",9.145569871333828,False,False,False,False,False,False
2q0b_A_modified_binding_site.004,2q0b_A_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
2q0b_A_modified_binding_site.005,2q0b_A_modified,unbound,binding_site.005,7,"('consensus.005.007', np.float64(5.141581429912201))",9.145569871333828,False,False,True,False,False,False
2q0b_A_modified_binding_site.006,2q0b_A_modified,unbound,binding_site.006,0,0.0,0.0,False,False,False,False,False,False
2q0b_A_modified_binding_site.007,2q0b_A_modified,unbound,binding_site.007,1,0.0,9.145569871333828,False,False,False,False,False,False
2q0b_A_modified_binding_site.008,2q0b_A_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
2q0b_A_modified_binding_site.009,2q0b_A_modified,unbound,binding_site.009,3,0.0,5.123235445726287,False,False,False,False,False,False
2q0b_A_modified_binding_site.010,2q0b_A_modified,unbound,binding_site.010,2,0.0,9.145569871333828,False,False,False,False,False,False
6lvk_A_modified_binding_site.000,6lvk_A_modified,bound,binding_site.000,20,"('consensus.006.005', np.float64(5.148557942187151))",13.307285957891548,True,True,True,True,True,False
6lvk_A_modified_binding_site.001,6lvk_A_modified,unbound,binding_site.001,10,"('consensus.008.003', np.float64(5.570446111775416))",17.93960576186302,False,False,True,True,False,False
6lvk_A_modified_binding_site.002,6lvk_A_modified,unbound,binding_site.002,0,0.0,0.0,False,False,False,False,False,False
6lvk_A_modified_binding_site.003,6lvk_A_modified,unbound,binding_site.003,3,"('consensus.007.004', np.float64(11.571856635955198))",8.6444542430493,False,False,False,False,False,False
6lvk_A_modified_binding_site.004,6lvk_A_modified,unbound,binding_site.004,0,0.0,0.0,False,False,False,False,False,False
6lvk_A_modified_binding_site.005,6lvk_A_modified,unbound,binding_site.005,9,0.0,8.6444542430493,False,False,False,False,False,False
6lvk_A_modified_binding_site.006,6lvk_A_modified,unbound,binding_site.006,0,0.0,0.0,False,False,False,False,False,False
6lvk_A_modified_binding_site.007,6lvk_A_modified,unbound,binding_site.007,0,0.0,0.0,False,False,False,False,False,False
6lvk_A_modified_binding_site.008,6lvk_A_modified,unbound,binding_site.008,0,0.0,0.0,False,False,False,False,False,False
6lvk_A_modified_binding_site.009,6lvk_A_modified,unbound,binding_site.009,2,0.0,4.834709991288084,False,False,False,False,False,False
6lvk_A_modified_binding_site.010,6lvk_A_modified,unbound,binding_site.010,0,0.0,0.0,False,False,False,False,False,False
8e1x_A_modified_binding_site.000,8e1x_A_modified,bound,binding_site.000,22,"('consensus.001.020', np.float64(5.272549748627209))",17.54682988512901,True,True,True,True,True,False
8e1x_A_modified_binding_site.001,8e1x_A_modified,unbound,binding_site.001,11,"('consensus.005.007', np.float64(5.022411664313425))",14.457914863254594,False,False,True,True,False,False
8e1x_A_modified_binding_site.002,8e1x_A_modified,unbound,binding_site.002,0,0.0,0.0,False,False,False,False,False,False
8e1x_A_modified_binding_site.003,8e1x_A_modified,unbound,binding_site.003,17,"('consensus.005.007', np.float64(5.022411664313425))",14.457914863254594,True,True,True,True,True,False
8e1x_A_modified_binding_site.004,8e1x_A_modified,unbound,binding_site.004,4,0.0,14.457914863254594,False,False,False,True,False,False
8e1x_A_modified_binding_site.005,8e1x_A_modified,unbound,binding_site.005,7,"('consensus.004.007', np.float64(6.965828565029816))",14.457914863254594,False,False,True,True,False,False
