Type,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008
bound,1FAP.A,24,15,12,13,0,0,0,0,3
unbound,2PPO.A,24,19,13,15,0,1,0,2,3
bound,8ER7.E,16,6,2,5,0,2,0,2,3
bound,1B6C.A,22,20,14,9,2,0,0,1,0
bound,6YF0.A,23,10,5,8,0,0,0,0,0
bound,1FKL.A,25,13,10,11,7,0,0,0,0
bound,7U8D.A,25,9,7,18,0,0,0,0,0
unbound,1FKK.A,16,18,12,13,0,0,0,0,5
bound,4FAP.A,22,10,6,9,0,1,0,0,9
bound,6I1S.B,32,18,16,10,0,0,0,1,2
bound,1B6C.E,22,19,13,10,2,0,0,1,0
bound,6VCU.B,22,13,9,4,0,1,0,0,0
bound,1NSG.A,26,10,5,8,0,1,0,0,0
bound,1D7H.B,17,12,11,12,0,0,0,0,7
bound,1J4H.A,22,14,9,11,0,1,0,2,2
unbound,1EYM.B,16,16,11,14,0,2,0,0,0
bound,1J4R.D,26,10,11,10,0,0,0,3,6
bound,2FAP.A,17,9,4,10,0,1,0,0,0
unbound,1FKS.A,19,15,12,16,0,6,10,8,0
bound,1B6C.G,22,19,13,10,2,0,0,1,2
bound,1F40.A,22,8,8,8,0,1,0,0,0
bound,1FKH.A,28,13,10,13,0,1,0,0,0
unbound,2PPP.A,18,20,20,18,0,1,0,0,2
bound,1FKI.A,23,19,14,6,0,1,0,0,2
bound,6OQA.E,26,9,8,3,0,0,0,3,0
bound,8ER6.E,23,23,14,9,0,11,0,0,0
bound,1QPF.D,18,14,11,11,0,1,4,1,0
bound,1D7H.A,22,15,8,15,0,0,0,0,5
bound,4DH0.A,18,9,6,8,15,0,0,0,0
unbound,1FKT.A,17,12,8,13,0,4,11,8,0
unbound,4N19.A,26,22,18,16,0,1,0,0,5
bound,4IPX.A,16,21,17,9,0,0,0,0,3
bound,1D7I.A,15,10,8,12,0,3,0,0,4
bound,8ER6.C,18,15,13,11,0,5,0,2,6
bound,6YF1.A,24,10,8,9,0,1,0,0,0
bound,3FAP.A,18,12,6,12,0,3,0,0,9
bound,1FKB.A,27,10,5,10,15,0,0,0,0
bound,1J4R.A,32,9,7,8,0,0,0,0,3
bound,2DG4.A,21,16,12,13,0,8,0,0,0
bound,7U0T.B,21,12,14,10,0,0,0,5,0
bound,6OQA.B,24,5,4,4,0,0,0,2,0
unbound,2ND5.A,16,24,19,15,1,0,0,0,0
bound,1FKG.A,26,13,11,8,0,1,0,0,0
bound,3MDY.D,20,13,14,15,0,1,0,2,0
bound,1B6C.C,20,12,10,9,2,0,0,1,0
bound,6OQA.F,19,5,11,3,0,1,0,1,3
bound,8ER7.C,19,8,6,13,0,1,0,3,0
bound,6M4U.E,17,11,12,10,0,0,0,1,8
bound,3MDY.B,19,12,15,12,0,0,0,2,0
bound,1D7J.A,14,13,11,13,0,0,0,0,4
bound,1J4R.B,26,9,7,10,0,0,0,0,5
unbound,2RSE.A,24,14,8,8,10,1,0,0,0
unbound,1D6O.B,13,12,8,11,0,0,0,0,10
bound,6M4U.A,23,12,11,8,0,1,0,3,2
bound,2DG9.A,17,10,13,9,0,0,0,6,0
bound,1TCO.C,23,15,6,11,5,0,2,0,0
bound,6VCU.D,26,10,7,6,0,1,0,1,0
bound,6VCU.C,15,10,7,3,0,1,2,2,0
bound,1FKD.A,18,10,6,8,0,2,0,0,3
unbound,1EYM.A,17,12,8,11,0,1,0,0,0
bound,1BKF.A,18,12,5,9,0,0,0,0,2
bound,6YF3.A,19,13,9,10,0,0,0,0,2
bound,8ER6.A,23,18,14,8,0,0,0,2,0
bound,2DG3.A,22,14,10,11,3,0,0,2,0
bound,6YF2.A,19,19,13,9,0,1,0,0,0
bound,6VCU.A,23,11,8,7,0,0,0,0,0
bound,1D7I.B,17,19,17,11,0,6,0,0,2
bound,1FKJ.A,16,11,10,6,0,0,0,0,0
unbound,2PPN.A,17,15,15,13,0,0,0,6,0
bound,1QPL.C,23,7,11,3,0,0,0,0,0
bound,6OQA.A,24,6,3,7,0,0,0,0,0
bound,1A7X.A,19,12,13,14,0,3,0,1,2
unbound,1D6O.A,16,20,7,13,0,1,0,0,8
bound,3H9R.B,20,13,6,9,0,0,0,0,0
unbound,1FKR.A,21,28,17,13,0,16,5,13,0
bound,1D7J.B,18,17,8,12,0,0,0,0,0
bound,1BL4.A,27,15,10,11,0,0,0,0,0
bound,1BL4.B,16,11,8,8,0,0,0,0,0
bound,1FKF.A,16,15,10,6,0,1,0,0,0
bound,1FKI.B,27,14,8,9,0,0,0,0,0
bound,1A7X.B,24,15,3,14,0,0,0,0,0
bound,7U8D.B,20,9,12,18,0,0,0,1,0
bound,1QPF.A,31,8,5,7,0,0,0,2,0
bound,1J4I.A,27,16,12,10,0,0,0,0,0
bound,2FKE.A,18,10,10,7,0,1,0,0,0
bound,1QPL.A,16,8,13,6,0,0,0,0,4
bound,8ERA.B,17,15,14,8,0,0,0,2,0
bound,8ER7.A,26,11,10,9,0,0,0,5,0
