Type,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009
unbound,4JA1.A,23,13,0,9,9,0,0,0,0,0
bound,1UMT.A,17,7,3,3,1,16,18,7,0,7
bound,1G4K.C,26,17,0,7,7,0,0,0,0,0
unbound,4DPE.A,14,14,9,0,0,0,7,0,0,2
unbound,1D8M.A,19,19,3,6,6,0,2,0,0,0
unbound,1QIA.D,17,16,7,2,2,0,5,0,0,7
bound,1BIW.B,22,14,2,3,3,0,0,0,0,4
unbound,1CQR.A,29,20,15,10,10,0,3,0,6,0
unbound,7S7L.A,23,23,6,6,6,0,1,0,0,2
unbound,1BIW.A,20,17,3,5,5,0,0,0,0,0
bound,1CAQ.A,23,17,10,6,6,0,6,0,0,0
bound,1D8F.B,26,15,0,4,4,0,0,0,0,0
bound,3USN.A,18,17,14,3,3,0,6,3,0,0
bound,2SRT.A,20,14,15,3,0,0,0,0,0,1
bound,1USN.A,22,19,13,6,6,0,8,9,0,0
bound,1BQO.B,24,18,3,5,5,0,2,0,0,3
unbound,1G49.A,16,14,9,9,9,0,4,0,0,0
bound,2JT6.A,18,14,0,3,0,0,0,0,0,0
unbound,1HY7.A,17,16,0,5,5,0,0,0,7,0
unbound,7S7M.A,18,18,10,11,10,0,5,0,0,6
bound,1D5J.B,27,14,4,4,4,0,0,0,0,3
bound,2USN.A,18,15,16,7,7,0,12,3,0,2
unbound,4G9L.A,22,16,16,10,10,0,10,0,10,0
bound,1G05.B,29,19,2,9,9,0,0,0,0,0
unbound,1QIC.A,21,18,0,7,7,0,0,8,0,0
bound,1C8T.B,25,17,5,7,7,0,0,0,0,3
unbound,1QIA.B,21,15,0,9,9,0,0,0,0,0
bound,3OHL.A,28,26,2,7,7,1,1,0,0,0
unbound,1QIA.C,24,17,6,9,9,0,3,0,0,7
bound,1G49.B,27,16,3,5,5,0,0,0,0,0
unbound,1C3I.A,23,19,5,7,7,0,2,0,0,1
bound,2D1O.A,24,16,4,6,6,0,1,0,0,0
unbound,1CQR.B,25,20,16,12,12,0,13,0,0,3
bound,1C8T.A,16,19,6,10,10,0,0,0,0,0
unbound,1UEA.A,25,16,0,4,3,0,0,0,0,0
bound,4DPE.B,20,20,4,0,0,0,0,3,0,1
unbound,1D8F.A,24,11,8,5,5,0,5,0,0,0
bound,1G4K.B,18,15,6,7,7,0,4,0,0,0
unbound,6MAV.A,14,14,3,4,4,0,0,10,0,11
bound,1B3D.B,25,15,0,3,3,0,0,0,0,0
bound,1G4K.A,17,17,4,5,5,0,1,0,0,0
bound,1HY7.B,26,15,5,4,4,0,0,0,0,0
bound,1C3I.B,22,13,9,5,3,0,4,0,0,0
bound,4JA1.B,20,14,8,0,0,0,3,0,0,4
unbound,6N9D.A,19,13,3,7,7,0,0,2,0,3
bound,1B8Y.A,18,18,8,9,9,0,5,0,0,0
bound,4G9L.B,26,25,2,3,3,0,0,4,0,0
bound,2JNP.A,14,13,0,0,0,0,0,0,0,0
bound,1BM6.A,17,14,10,16,0,0,3,0,3,0
bound,1UMS.A,25,18,0,6,10,11,4,0,0,3
unbound,1OO9.A,21,15,0,6,6,0,0,0,0,0
unbound,1QIC.D,19,19,0,4,4,0,0,0,0,0
bound,1HFS.A,19,19,5,8,8,0,3,0,0,3
unbound,1QIC.B,13,11,0,5,5,0,0,6,0,0
unbound,1UEA.C,20,20,10,5,5,0,6,0,0,0
unbound,1G05.A,26,17,3,6,6,0,3,0,0,0
unbound,1D7X.A,19,16,7,7,7,0,5,0,0,0
bound,2D1O.B,24,21,6,4,4,0,1,0,0,0
unbound,1B3D.A,27,19,14,8,8,0,9,0,0,9
bound,1CIZ.A,17,14,4,9,9,0,1,0,0,0
bound,1SLN.A,26,17,4,9,7,0,1,0,0,0
unbound,1BQO.A,16,16,18,15,14,0,2,11,0,0
unbound,1QIC.C,15,15,3,6,5,0,1,5,0,0
bound,3OHO.A,28,20,7,9,8,0,5,0,0,0
unbound,1D7X.B,23,12,0,3,3,0,0,0,0,0
unbound,1QIA.A,24,16,5,6,6,0,0,0,0,10
bound,2JT5.A,19,16,0,4,0,0,0,0,0,0
bound,1D8M.B,22,19,4,6,6,0,0,0,0,0
bound,1D5J.A,22,15,13,7,7,0,7,0,0,0
