Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013
unbound,6U8Q.L,19,11,7,2,8,0,16,0,5,2,0,0,0,2
unbound,4CJK.B,11,24,21,0,8,0,9,0,0,0,0,0,0,0
unbound,4CES.B,15,20,18,0,7,0,6,0,0,0,0,0,0,0
unbound,4CK3.A,16,22,20,0,7,0,2,0,0,0,0,0,0,0
unbound,4CK3.B,16,21,19,0,8,0,2,0,0,0,1,0,0,0
unbound,2ITG.A,16,19,0,0,0,0,15,0,1,2,2,0,0,0
unbound,2B4J.A,19,16,8,2,4,0,3,9,2,0,3,0,0,0
unbound,2B4J.B,25,12,9,2,2,0,4,7,2,0,2,0,0,0
bound,3NF9.A,13,18,11,1,3,0,3,0,0,0,0,0,0,0
bound,1QS4.A,22,11,0,0,3,0,17,11,4,1,8,0,0,0
unbound,4CF2.A,12,18,15,0,5,0,4,0,0,0,0,0,0,0
unbound,3L3U.B,17,8,0,0,0,0,19,5,15,1,0,0,0,0
unbound,6LMQ.A,11,16,0,19,3,0,8,0,3,0,2,0,0,0
unbound,3AO1.B,23,14,0,0,2,0,6,8,10,6,0,0,0,0
unbound,3AVG.A,9,20,14,0,6,0,4,0,0,0,1,0,0,0
unbound,8A1P.B,16,5,3,2,4,0,8,15,7,0,0,0,0,0
unbound,5HRS.A,17,13,0,0,0,0,3,8,5,3,0,0,0,0
unbound,6LMI.A,11,15,0,20,7,0,5,3,1,0,0,0,0,0
unbound,4CJF.B,14,20,18,0,6,0,3,0,0,0,0,0,0,0
unbound,4O5B.A,20,8,0,21,8,0,1,13,5,1,1,0,0,0
unbound,3ZSQ.A,19,19,17,0,6,0,3,0,0,0,2,0,0,0
unbound,4CJF.A,14,19,17,0,6,0,4,0,0,0,0,0,0,0
unbound,4CIE.B,11,19,19,1,8,0,3,0,0,1,1,0,0,0
unbound,6WC8.A,15,8,1,0,10,0,14,13,6,0,0,0,1,0
unbound,7L1P.B,17,9,0,0,22,0,0,4,4,0,0,0,0,0
unbound,3VQB.B,16,21,4,0,0,0,0,10,5,0,0,1,1,0
unbound,5HRN.A,14,18,2,14,0,0,10,2,2,5,8,0,0,0
unbound,4CJE.B,9,19,14,0,6,0,5,0,0,0,1,0,0,0
unbound,3VQA.A,19,14,0,0,5,0,0,2,5,0,0,0,2,0
unbound,4DMN.A,9,18,0,0,0,0,19,5,7,0,1,0,0,0
unbound,8CT7.A,12,9,0,19,6,0,4,7,5,5,3,0,0,0
bound,4CHZ.A,14,19,19,0,7,0,4,0,0,0,1,0,0,0
unbound,4CJQ.B,15,21,21,0,4,0,6,0,0,0,0,0,0,0
unbound,4CF2.B,8,19,17,0,6,0,8,0,0,0,1,0,0,0
unbound,5KRT.A,15,9,0,23,14,0,12,0,0,1,0,0,0,0
unbound,4CHO.B,11,22,19,0,6,0,6,0,0,0,0,0,0,0
unbound,5JL4.A,26,16,17,0,1,0,14,6,2,0,0,0,0,0
unbound,5JL4.B,25,17,13,0,4,0,12,8,6,0,0,0,0,0
unbound,4CFD.A,14,17,13,2,11,0,0,0,0,0,0,0,0,0
unbound,7L1P.A,13,7,0,6,14,0,0,5,1,0,0,0,0,0
unbound,3ZT4.A,12,22,18,0,9,0,6,0,1,0,0,0,0,0
unbound,8CTA.J,19,9,0,7,0,0,0,6,6,0,0,0,0,0
unbound,8A1Q.D,16,19,11,2,5,0,19,2,2,3,0,0,0,0
bound,4CJW.B,15,15,14,0,4,0,4,0,0,0,0,0,0,0
unbound,5OI8.A,17,7,0,18,6,0,5,8,5,0,0,0,0,0
unbound,4Y1C.A,21,16,1,0,1,0,3,4,9,0,0,0,0,0
unbound,4CJP.A,11,22,20,0,6,0,5,0,0,0,1,0,0,0
unbound,6VKA.A,14,3,0,0,22,0,13,8,0,0,0,0,0,0
unbound,6EB1.A,11,25,0,20,7,0,0,0,7,0,0,0,0,0
unbound,4CEC.B,11,19,19,0,4,0,8,0,0,0,1,0,0,0
unbound,3ZSX.B,16,22,20,0,6,0,5,0,1,0,0,0,0,0
bound,4CHP.A,11,18,9,0,6,0,2,0,0,0,1,0,0,0
unbound,8CTA.M,23,13,4,2,0,0,18,0,7,3,0,0,0,0
unbound,4GW6.A,22,16,0,8,0,0,15,3,4,1,2,0,0,0
unbound,3ZT2.A,10,29,20,0,10,0,6,0,0,0,1,0,0,0
unbound,4CJ5.B,11,22,20,0,6,0,0,0,0,0,0,0,0,0
unbound,5U1C.D,25,3,0,25,0,0,0,5,1,0,0,9,0,1
bound,8CTA.B,18,5,4,0,0,0,16,10,10,0,2,0,0,0
unbound,4CES.A,10,24,20,0,8,0,4,0,0,0,1,0,0,0
unbound,3AVK.A,11,18,15,0,7,0,3,0,0,0,1,0,0,0
unbound,4CIG.B,12,21,20,0,8,0,9,0,0,0,0,0,0,0
unbound,1QS4.C,18,24,10,0,4,0,17,3,1,1,4,0,0,0
unbound,1BL3.C,17,16,0,0,0,0,0,0,7,12,12,0,0,0
unbound,4CGI.B,16,21,19,0,8,0,1,0,0,0,1,0,0,0
unbound,4CEE.A,11,24,21,0,10,0,2,0,0,0,1,0,0,0
unbound,6VRG.C,21,20,0,0,0,18,9,0,3,0,0,0,12,0
unbound,4CJV.A,11,18,18,0,7,0,2,0,0,0,2,0,0,0
unbound,1BIS.B,17,12,18,0,0,0,15,0,2,5,1,0,0,0
unbound,3L3V.B,22,25,2,0,2,0,0,10,9,0,0,0,0,0
unbound,4ID1.A,14,13,0,20,0,0,13,4,4,0,0,0,0,0
unbound,4CGJ.A,9,21,19,0,10,0,4,0,0,0,0,0,0,0
unbound,3VQ7.A,12,20,11,0,3,0,6,0,3,4,0,0,0,0
unbound,4O55.A,13,13,0,20,2,0,8,8,7,0,0,0,0,0
unbound,8CTA.I,15,8,2,4,0,0,17,0,8,0,0,0,0,0
unbound,4O0J.A,13,4,0,19,5,0,0,7,7,0,0,0,0,0
unbound,4Y1D.B,15,15,12,0,0,0,2,0,5,0,0,0,0,0
unbound,4CGI.A,12,23,20,0,9,0,1,0,0,0,1,0,0,0
unbound,5OI5.A,12,13,0,18,10,0,11,5,1,0,0,0,0,0
unbound,7RQ0.B,26,9,0,0,3,0,4,9,6,1,1,0,1,0
unbound,3VQ6.B,19,20,4,0,0,0,2,8,7,1,0,0,0,0
unbound,7T9H.A,16,17,0,0,6,0,6,9,8,4,10,0,0,0
unbound,1BIU.B,24,7,2,0,3,0,17,11,7,3,0,0,0,0
unbound,3VQ4.B,20,24,0,0,0,0,4,10,10,0,0,0,0,0
unbound,4CHQ.B,12,21,18,0,8,0,3,0,0,1,1,0,0,0
unbound,3VQ9.C,11,17,0,2,0,0,5,4,9,2,14,0,0,0
unbound,3ZT0.A,12,17,15,0,8,0,3,0,0,0,1,0,0,0
unbound,3AVB.A,15,21,20,0,4,0,3,0,0,0,2,0,0,0
unbound,4CF9.A,14,19,18,0,5,0,10,0,0,0,0,0,0,0
unbound,6U8Q.N,18,27,0,0,0,0,7,2,15,0,0,2,0,0
unbound,6U8Q.O,22,5,0,0,0,0,10,4,8,0,0,0,0,0
unbound,6NUJ.A,10,19,0,20,6,0,3,2,5,0,0,0,0,0
unbound,3VQ7.B,19,22,0,0,0,0,4,4,9,0,0,0,0,0
unbound,3VQD.A,25,23,0,0,0,0,0,2,7,0,0,0,0,0
unbound,4CJU.B,13,17,17,0,4,0,3,0,0,0,0,0,0,0
unbound,4CHN.A,7,25,21,0,7,0,5,0,0,0,1,0,0,0
unbound,1BIZ.A,18,18,0,12,0,0,17,0,3,9,2,0,0,0
unbound,4E1N.A,18,13,0,16,12,0,13,0,0,6,8,0,0,0
unbound,4Y1D.A,33,7,2,0,0,0,7,9,12,3,0,0,0,0
unbound,8A1P.D,15,11,0,2,0,0,18,7,1,2,4,0,0,0
unbound,7WCE.A,16,17,0,18,9,0,0,4,4,0,0,0,0,0
unbound,4CEA.B,13,21,19,0,7,0,6,0,0,0,1,0,0,0
unbound,4CGG.B,17,23,19,0,7,0,3,0,0,0,1,0,0,0
unbound,7KE0.A,8,12,0,24,5,0,0,2,7,0,0,0,0,0
unbound,8CT5.A,12,12,0,21,5,0,13,0,1,9,1,0,0,0
unbound,4AHS.A,18,23,19,0,12,0,10,0,0,0,0,0,0,0
unbound,1B92.A,13,15,0,5,0,0,8,3,6,10,4,0,1,0
bound,3NF9.B,15,24,14,2,4,0,3,0,0,0,0,0,0,0
unbound,3ZSZ.B,15,22,22,0,11,0,7,0,0,0,1,0,0,0
unbound,4CJ4.B,17,24,20,0,6,0,7,0,0,0,0,0,0,0
unbound,4CFB.A,11,21,17,0,6,0,4,0,0,0,1,0,0,0
unbound,7LQP.A,9,9,0,0,16,0,17,4,1,0,0,0,0,0
unbound,4OJR.A,23,16,0,0,1,0,17,1,1,1,0,0,0,0
unbound,6VLH.A,19,19,0,0,20,0,8,0,1,0,0,0,0,0
bound,4AH9.A,7,20,16,0,10,0,8,2,1,0,1,0,0,0
unbound,4CGH.B,13,23,19,0,8,0,5,0,1,0,1,0,0,0
unbound,1B9F.A,18,12,0,11,5,0,12,1,5,8,2,0,0,0
unbound,3ZSY.A,16,23,20,0,7,0,4,0,0,0,2,0,0,0
unbound,3AO1.A,19,11,0,0,0,0,1,0,4,1,0,0,1,0
unbound,6UM8.B,21,15,14,0,3,0,5,8,4,4,0,0,0,1
unbound,4CEC.A,10,22,20,0,8,0,2,0,0,0,1,0,0,0
bound,3NF6.B,17,19,18,0,7,0,2,0,0,0,0,0,0,0
unbound,5KGW.A,13,5,0,21,5,0,1,10,6,2,0,0,0,0
unbound,3AVB.B,15,20,17,0,6,0,10,0,0,0,1,0,0,0
unbound,6W0U.A,23,19,0,2,16,0,2,0,1,0,0,0,0,0
unbound,6VKA.B,19,2,0,0,14,0,5,8,1,0,0,0,0,0
unbound,1BI4.C,20,16,0,0,0,0,0,0,3,15,13,0,0,0
unbound,3VQD.B,14,18,0,0,0,0,6,9,7,1,0,0,1,0
unbound,3ZSV.B,12,13,15,1,5,0,5,0,0,0,0,0,0,0
unbound,1B9D.A,16,14,0,8,1,0,5,7,6,5,0,0,0,1
unbound,6JCF.A,19,19,0,9,3,0,13,0,4,0,0,0,1,0
